Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
146,Dwayne Jones,2009,2009,1,6,52,4,7,0,0,4,6,6,12,0,0,1,4,6,12,.571,,.667,8.7,2.0,2.0,0.0,0.0,0.2,jonesdw02
147,Eddie Jones,1999,2000,2,102,3964,642,1487,156,419,515,610,111,461,430,282,83,232,262,1955,.432,.372,.844,38.9,19.2,4.5,4.2,2.8,0.8,jonesed02
148,Jumaine Jones,2006,2006,1,76,2089,298,736,115,335,88,121,105,376,63,68,22,74,200,799,.405,.343,.727,27.5,10.5,4.9,0.8,0.9,0.3,jonesju01
149,Kai Jones,2022,2023,2,67,613,76,134,5,21,22,34,40,134,19,18,32,37,73,179,.567,.238,.647,9.1,2.7,2.0,0.3,0.3,0.5,joneska01
150,Frank Kaminsky,2016,2019,4,282,6252,980,2341,338,969,460,605,211,1122,452,132,108,241,428,2758,.419,.349,.760,22.2,9.8,4.0,1.6,0.5,0.4,kaminfr01
151,Jason Kapono,2005,2005,1,81,1491,269,671,80,194,70,85,32,164,61,40,6,46,132,688,.401,.412,.824,18.4,8.5,2.0,0.8,0.5,0.1,kaponja01
152,Tim Kempton,1989,1994,2,88,1444,180,361,0,1,149,217,97,318,108,45,15,125,240,509,.499,.000,.687,16.4,5.8,3.6,1.2,0.5,0.2,kemptti01
153,Randolph Keys,1990,1991,2,76,1196,201,464,15,47,59,91,88,216,67,52,21,72,200,476,.433,.319,.648,15.7,6.3,2.8,0.9,0.7,0.3,keysra01
154,Michael Kidd-Gilchrist,2013,2020,8,433,10857,1458,3072,28,100,794,1111,698,2388,511,294,301,391,937,3738,.475,.280,.715,25.1,8.6,5.5,1.2,0.7,0.7,kiddgmi01
155,Greg Kite,1989,1989,1,12,213,16,30,0,0,6,10,15,53,7,4,8,12,43,38,.533,,.600,17.8,3.2,4.4,0.6,0.3,0.7,kitegr01
156,Brevin Knight,2005,2007,3,180,5568,708,1722,7,51,522,638,70,508,1497,355,12,406,507,1945,.411,.137,.818,30.9,10.8,2.8,8.3,2.0,0.1,knighbr01
157,Arnoldas Kulboka,2022,2022,1,2,5,0,1,0,1,0,0,0,0,0,0,0,0,1,0,.000,.000,,2.5,0.0,0.0,0.0,0.0,0.0,kulboar01
158,Jeremy Lamb,2016,2019,4,287,6587,1267,2812,306,911,584,685,188,1274,510,218,117,263,481,3424,.451,.336,.853,23.0,11.9,4.4,1.8,0.8,0.4,lambje01
159,Acie Law,2010,2010,1,9,33,5,16,0,1,6,7,0,1,3,1,1,3,3,16,.313,.000,.857,3.7,1.8,0.1,0.3,0.1,0.1,lawac01
160,Eric Leckner,1991,1997,3,100,1471,171,355,0,1,84,135,104,415,53,19,29,83,240,426,.482,.000,.622,14.7,4.3,4.2,0.5,0.2,0.3,leckner01
161,Courtney Lee,2016,2016,1,28,845,98,220,31,79,23,26,10,87,60,33,12,23,55,250,.445,.392,.885,30.2,8.9,3.1,2.1,1.2,0.4,leeco01
162,Ralph Lewis,1989,1990,2,45,356,62,127,1,3,21,41,39,67,15,12,3,25,30,146,.488,.333,.512,7.9,3.2,1.5,0.3,0.3,0.1,lewisra01
163,Scottie Lewis,2022,2022,1,2,7,0,0,0,0,1,2,0,0,1,1,0,0,0,1,,,.500,3.5,0.5,0.0,0.5,0.5,0.0,lewissc01
164,Jeremy Lin,2016,2016,1,78,2048,300,728,76,226,238,292,42,253,235,58,42,150,165,914,.412,.336,.815,26.3,11.7,3.2,3.0,0.7,0.5,linje01
165,Shaun Livingston,2011,2011,1,73,1261,185,397,1,4,108,125,29,149,164,47,29,88,109,479,.466,.250,.864,17.3,6.6,2.0,2.2,0.6,0.4,livinsh01
166,Sidney Lowe,1989,1989,1,14,250,8,25,0,2,7,11,6,34,93,14,0,9,28,23,.320,.000,.636,17.9,1.6,2.4,6.6,1.0,0.0,lowesi01
167,George Lynch,2002,2002,1,45,893,73,198,1,6,25,40,70,186,54,40,14,41,75,172,.369,.167,.625,19.8,3.8,4.1,1.2,0.9,0.3,lynchge01
168,Kevin Lynch,1992,1993,2,95,1143,123,282,3,9,61,84,42,120,108,48,15,68,151,310,.436,.333,.726,12.0,3.3,1.3,1.1,0.5,0.2,lynchke01
169,Shelvin Mack,2019,2019,1,4,42,2,14,0,2,5,9,0,2,1,2,0,4,3,9,.143,.000,.556,10.5,2.3,0.5,0.3,0.5,0.0,macksh01
170,J.P. Macura,2019,2019,1,2,17,3,9,0,4,0,0,0,3,2,0,0,0,0,6,.333,.000,,8.5,3.0,1.5,1.0,0.0,0.0,macurjp01
171,Corey Maggette,2012,2012,1,32,881,139,373,24,66,178,208,21,125,39,23,1,59,83,480,.373,.364,.856,27.5,15.0,3.9,1.2,0.7,0.0,maggeco01
172,Jamaal Magloire,2001,2002,2,156,2644,350,685,0,3,338,478,256,756,58,45,164,179,340,1038,.511,.000,.707,16.9,6.7,4.8,0.4,0.3,1.1,magloja01
173,Théo Maledon,2023,2024,2,57,1054,121,320,33,125,74,86,18,146,180,44,12,74,79,349,.378,.264,.860,18.5,6.1,2.6,3.2,0.8,0.2,maledth01
174,Tre Mann,2024,2025,2,41,1187,195,437,63,167,63,79,28,163,184,55,7,81,69,516,.446,.377,.797,29.0,12.6,4.0,4.5,1.3,0.2,manntr01
175,Caleb Martin,2020,2021,2,71,1135,133,340,51,162,58,85,41,179,90,49,19,48,94,375,.391,.315,.682,16.0,5.3,2.5,1.3,0.7,0.3,martica02
176,Cartier Martin,2009,2009,1,33,266,28,77,10,33,20,25,7,33,13,8,4,9,33,86,.364,.303,.800,8.1,2.6,1.0,0.4,0.2,0.1,martica01
177,Cody Martin,2020,2025,6,245,5472,588,1337,165,518,200,304,239,913,564,243,98,233,379,1541,.440,.319,.658,22.3,6.3,3.7,2.3,1.0,0.4,martico01
178,Jamal Mashburn,2001,2002,2,116,4590,876,2132,144,401,490,605,123,818,582,130,19,321,265,2386,.411,.359,.810,39.6,20.6,7.1,5.0,1.1,0.2,mashbja01
179,Anthony Mason,1997,2000,3,236,9424,1139,2250,1,8,894,1251,508,2354,1123,218,80,471,604,3173,.506,.125,.715,39.9,13.4,10.0,4.8,0.9,0.3,masonan01
180,Tony Massenburg,1992,1992,1,3,13,0,3,0,0,1,2,1,4,0,1,0,4,2,1,.000,,.500,4.3,0.3,1.3,0.0,0.3,0.0,masseto01
