Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
38,Melvin Booker,1997,1997,1,5,21,2,4,1,2,0,0,0,1,3,0,0,7,0,5,.500,.500,,4.2,1.0,0.2,0.6,0.0,0.0,bookeme01
39,Tom Boswell,1979,1980,2,97,2723,393,738,1,2,256,354,288,652,288,55,59,224,319,1043,.533,,.723,28.1,10.8,6.7,3.0,0.6,0.6,bosweto01
40,Ryan Bowen,2000,2004,5,298,4359,388,818,8,39,171,242,388,770,174,234,111,128,490,955,.474,.205,.707,14.6,3.2,2.6,0.6,0.8,0.4,bowenry01
41,Tommie Bowens,1968,1968,1,67,1287,177,453,1,2,55,90,,374,41,,,83,159,410,.391,.500,.611,19.2,6.1,5.6,0.6,,,bowento01
42,Earl Boykins,2004,2007,4,255,6430,1088,2629,214,626,692,770,123,430,1029,202,21,356,310,3082,.414,.342,.899,25.2,12.1,1.7,4.0,0.8,0.1,boykiea01
43,Jim Bradley,1976,1976,1,7,107,15,38,0,0,2,3,4,30,11,5,5,5,26,32,.395,,.667,15.3,4.6,4.3,1.6,0.7,0.7,bradlji01
44,Christian Braun,2023,2025,3,237,5511,841,1593,186,484,310,412,225,897,396,168,89,171,408,2178,.528,.384,.752,23.3,9.2,3.8,1.7,0.7,0.4,braunch01
45,Corey Brewer,2012,2013,2,141,3290,576,1346,124,434,239,346,98,385,212,190,40,158,267,1515,.428,.286,.691,23.3,10.7,2.7,1.5,1.3,0.3,breweco01
46,Aaron Brooks,2014,2014,1,29,841,129,318,42,116,46,51,20,78,150,27,7,66,70,346,.406,.362,.902,29.0,11.9,2.7,5.2,0.9,0.2,brookaa01
47,Kevin Brooks,1992,1994,3,126,1031,172,429,12,60,61,71,40,141,48,18,6,69,84,417,.401,.200,.859,8.2,3.3,1.1,0.4,0.1,0.0,brookke01
48,Michael Brooks,1988,1988,1,16,133,20,49,0,0,3,4,19,44,13,4,1,12,21,43,.408,,.750,8.3,2.7,2.8,0.8,0.3,0.1,brookmi01
49,Bruce Brown,2023,2023,1,80,2280,358,741,91,254,116,153,63,328,268,87,51,123,190,923,.483,.358,.758,28.5,11.5,4.1,3.4,1.1,0.6,brownbr01
50,Devin Brown,2003,2003,1,3,71,7,25,0,1,4,6,4,11,5,4,1,4,11,18,.280,.000,.667,23.7,6.0,3.7,1.7,1.3,0.3,brownde02
51,Larry Brown,1971,1972,2,110,2825,328,792,10,44,310,380,64,228,757,,,332,303,976,.414,.227,.816,25.7,8.9,2.1,6.9,,,brownla01
52,Roger Brown,1976,1976,1,37,291,28,61,2,2,16,24,25,75,22,8,22,17,63,74,.459,1.000,.667,7.9,2.0,2.0,0.6,0.2,0.6,brownro02
53,Mark Bryant,2003,2003,1,3,14,0,1,0,0,1,2,1,2,2,0,0,2,4,1,.000,,.500,4.7,0.3,0.7,0.7,0.0,0.0,bryanma01
54,Thomas Bryant,2023,2023,1,18,205,33,68,4,9,13,18,19,60,2,2,7,10,25,83,.485,.444,.722,11.4,4.6,3.3,0.1,0.1,0.4,bryanth01
55,Greg Buckner,2005,2006,2,143,3280,341,720,135,364,106,136,97,417,260,162,26,101,349,923,.474,.371,.779,22.9,6.5,2.9,1.8,1.1,0.2,buckngr01
56,Larry Bunce,1969,1969,1,23,225,22,59,0,0,49,70,17,58,2,,,21,44,93,.373,,.700,9.8,4.0,2.5,0.1,,,buncela01
57,David Burns,1982,1982,1,6,53,5,11,0,0,6,9,1,3,11,2,0,8,13,16,.455,,.667,8.8,2.7,0.5,1.8,0.3,0.0,burnsda01
58,David Bustion,1973,1973,1,47,355,58,133,0,0,42,59,39,101,21,8,4,54,82,158,.436,,.712,7.6,3.4,2.1,0.4,0.2,0.1,bustida01
59,Kentavious Caldwell-Pope,2023,2024,2,152,4783,562,1219,260,627,204,238,66,391,366,210,77,161,296,1588,.461,.415,.857,31.5,10.4,2.6,2.4,1.4,0.5,caldwke01
60,Mack Calvin,1975,1978,3,180,4076,730,1554,3,16,771,880,66,343,833,213,14,387,346,2234,.470,,.876,22.6,12.4,1.9,4.6,1.2,0.1,calvima01
61,Marcus Camby,2003,2008,6,372,11777,1534,3319,9,44,671,938,943,4117,928,418,1126,560,1042,3748,.462,.205,.715,31.7,10.1,11.1,2.5,1.1,3.0,cambyma01
62,Facundo Campazzo,2021,2022,2,130,2609,227,611,134,409,140,169,45,251,452,142,37,140,256,728,.372,.328,.828,20.1,5.6,1.9,3.5,1.1,0.3,campafa01
63,Vlatko Čančar,2020,2025,5,143,1527,180,381,64,181,61,72,54,251,123,39,22,74,137,485,.472,.354,.847,10.7,3.4,1.8,0.9,0.3,0.2,cancavl01
64,Larry Cannon,1971,1971,1,80,3097,751,1722,18,69,606,763,207,333,414,,,346,237,2126,.436,.261,.794,38.7,26.6,4.2,5.2,,,cannola01
65,Frank Card,1972,1973,2,77,1479,231,510,0,1,121,185,145,337,79,0,0,118,208,583,.453,.000,.654,19.2,7.6,4.4,1.0,0.0,0.0,cardfr01
